;NU_ANO;NU_MES;CO_IBGE;NO_ENTE;SG_UF;CO_COMP_MASSA;CO_TIPO_FUNDO;CNPJ_ORGAO;NO_ORGAO;CO_PODER;CO_TIPO_PODER;CO_TIPO_POPULACAO;CO_TIPO_CARGO;CO_TIPO_APOSENTADORIA;ID_APOSENTADO_MATRICULA;ID_APOSENTADO_CPF;ID_APOSENT_PIS_PASEP;CO_SEXO_APOSENTADO;CO_EST_CIVIL_APOSENTADO;DT_NASC_APOSENTADO;DT_ING_SERV_PUB;DT_ING_ENTE;DT_INICIO_APOSENTADORIA;VL_APOSENTADORIA;VL_CONTRIBUICAO;VL_COMPENS_PREVID;IN_PARID_SERV;CO_CONDICAO_APOSENTADO;NU_DEPENDENTES;NU_TEMPO_RPPS_MUN;NU_TEMPO_RPPS_EST;NU_TEMPO_RPPS_FED;IN_PREV_COMP;VL_TETO_ESPECIFICO
0;2021;12;2306504;Itapiúna;Ceará;1;1;3333333;Instituto;1;1;4;7;1;aposentados_1;6682;1;2;2;1956-12-17;1981-12-11;1981-12-11;2006-12-05;8972.34;0.0;0;1;1;1;0;0;0;2;29000
1;2021;12;2306504;Itapiúna;Ceará;1;1;3333333;Instituto;1;1;4;7;1;aposentados_2;6683;2;2;2;1951-12-19;1976-12-12;1976-12-12;2001-12-06;6540.43;0.0;0;1;1;1;0;0;0;2;29000
2;2021;12;2306504;Itapiúna;Ceará;1;1;3333333;Instituto;1;1;4;2;5;aposentados_3;6684;3;1;2;1966-12-15;1991-12-09;1991-12-09;2016-12-02;4686.24;0.0;0;2;1;1;0;0;0;2;29000
3;2021;12;2306504;Itapiúna;Ceará;1;1;3333333;Instituto;1;1;4;2;5;aposentados_4;6685;4;2;2;1961-12-16;1986-12-10;1986-12-10;2011-12-04;9691.71;0.0;0;1;1;1;0;0;0;2;29000
4;2021;12;2306504;Itapiúna;Ceará;1;1;3333333;Instituto;1;1;4;7;1;aposentados_5;6686;5;2;2;1961-12-16;1986-12-10;1986-12-10;2011-12-04;8603.63;0.0;0;1;1;1;0;0;0;2;29000
5;2021;12;2306504;Itapiúna;Ceará;1;1;3333333;Instituto;1;1;4;7;1;aposentados_6;6687;6;1;2;1962-12-16;1987-12-10;1987-12-10;2012-12-03;6491.53;0.0;0;1;1;1;0;0;0;2;29000
6;2021;12;2306504;Itapiúna;Ceará;1;1;3333333;Instituto;1;1;4;2;5;aposentados_7;6688;7;1;2;1943-12-21;1968-12-14;1968-12-14;1993-12-08;4537.15;0.0;0;1;1;1;0;0;0;2;29000
7;2021;12;2306504;Itapiúna;Ceará;1;1;3333333;Instituto;1;1;4;7;1;aposentados_8;6689;8;2;2;1956-12-17;1981-12-11;1981-12-11;2006-12-05;8295.33;0.0;0;1;1;1;0;0;0;2;29000
8;2021;12;2306504;Itapiúna;Ceará;1;1;3333333;Instituto;1;1;4;2;5;aposentados_9;6690;9;1;2;1957-12-17;1982-12-11;1982-12-11;2007-12-05;14083.81;0.0;0;1;1;1;0;0;0;2;29000
9;2021;12;2306504;Itapiúna;Ceará;1;1;3333333;Instituto;1;1;4;7;1;aposentados_10;6691;10;1;2;1957-12-17;1982-12-11;1982-12-11;2007-12-05;6541.71;0.0;0;1;1;1;0;0;0;2;29000
