;NU_ANO;NU_MES;CO_IBGE;NO_ENTE;SG_UF;CO_COMP_MASSA;CO_TIPO_FUNDO;NU_CNPJ_ORGAO;NO_ORGAO;CO_PODER;CO_TIPO_PODER;CO_TIPO_POPULACAO;CO_TIPO_CARGO;CO_CRITERIO_ELEGIBILIDADE;ID_SERVIDOR_MATRICULA;ID_SERVIDOR_CPF;ID_SERVIDOR_PIS_PASEP;CO_SEXO_SERVIDOR;CO_EST_CIVIL_SERVIDOR;DT_NASC_SERVIDOR;CO_SITUACAO_FUNCIONAL;CO_TIPO_VINCULO;DT_ING_SERV_PUB;DT_ING_ENTE;DT_ING_CARREIRA;NO_CARREIRA;DT_ING_CARGO;NO_CARGO;VL_BASE_CALCULO;VL_REMUNERACAO;VL_CONTRIBUICAO;NU_TEMPO_RGPS;NU_TEMPO_RPPS_MUN;NU_TEMPO_RPPS_EST;NU_TEMPO_RPPS_FED;NU_DEPENDENTES;IN_ABONO_PERMANENCIA;IN_PREV_COMP;VL_TETO_ESPECIFICO
0;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_1;1;1;2;2;1982-12-11;1;1;2007-12-05;2007-12-05;2007-12-05;Demais Servidores;2007-12-05;Demais Servidores;2552.44;2552.44;357.3416;0;0;0;0;1;2;2;29000
1;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_2;2;2;2;2;1987-12-10;1;1;2012-12-03;2012-12-03;2012-12-03;Demais Servidores;2012-12-03;Demais Servidores;1045.0;1045.0;146.3;0;0;0;0;1;2;2;29000
2;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_3;3;3;1;2;1993-12-08;1;1;2018-12-02;2018-12-02;2018-12-02;Demais Servidores;2018-12-02;Demais Servidores;13972.1;13972.1;992.2108000000002;0;0;0;0;1;2;2;29000
3;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_4;4;4;1;2;1988-12-09;1;1;2013-12-03;2013-12-03;2013-12-03;Demais Servidores;2013-12-03;Demais Servidores;6791.14;6791.14;950.7596000000001;0;0;0;0;1;2;2;29000
4;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_5;5;5;1;2;1994-12-08;1;1;2019-12-02;2019-12-02;2019-12-02;Demais Servidores;2019-12-02;Demais Servidores;1045.0;1045.0;146.3;0;0;0;0;1;2;2;29000
5;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_6;6;6;1;2;1989-12-09;1;1;2014-12-03;2014-12-03;2014-12-03;Demais Servidores;2014-12-03;Demais Servidores;1382.17;1382.17;193.50380000000004;0;0;0;0;1;2;2;29000
6;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_7;7;7;2;2;1987-12-10;1;1;2012-12-03;2012-12-03;2012-12-03;Demais Servidores;2012-12-03;Demais Servidores;5537.98;5537.98;775.3172;0;0;0;0;1;2;2;29000
7;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_8;8;8;1;2;1999-12-07;1;1;2020-12-01;2020-12-01;2020-12-01;Demais Servidores;2020-12-01;Demais Servidores;2178.95;2178.95;305.053;0;0;0;0;1;2;2;29000
8;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_9;9;9;2;2;1992-12-08;1;1;2017-12-02;2017-12-02;2017-12-02;Demais Servidores;2017-12-02;Demais Servidores;6336.26;6336.26;887.0764000000001;0;0;0;0;1;2;2;29000
9;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_10;10;10;1;2;1985-12-10;1;1;2010-12-04;2010-12-04;2010-12-04;Demais Servidores;2010-12-04;Demais Servidores;5690.45;5690.45;796.663;0;0;0;0;1;2;2;29000
10;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_11;11;11;2;2;1977-12-12;1;1;2002-12-06;2002-12-06;2002-12-06;Demais Servidores;2002-12-06;Demais Servidores;3246.72;3246.72;454.5408;0;0;0;0;1;2;2;29000
11;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_12;12;12;1;2;1984-12-10;1;1;2009-12-04;2009-12-04;2009-12-04;Demais Servidores;2009-12-04;Demais Servidores;5846.99;5846.99;818.5786;0;0;0;0;1;2;2;29000
12;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_13;13;13;1;2;1973-12-13;1;1;1998-12-07;1998-12-07;1998-12-07;Demais Servidores;1998-12-07;Demais Servidores;5213.55;5213.55;729.897;0;0;0;0;1;2;2;29000
13;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_14;14;14;1;2;1983-12-11;1;1;2008-12-04;2008-12-04;2008-12-04;Demais Servidores;2008-12-04;Demais Servidores;1372.31;1372.31;192.1234;0;0;0;0;1;2;2;29000
14;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_15;15;15;2;2;1989-12-09;1;1;2014-12-03;2014-12-03;2014-12-03;Demais Servidores;2014-12-03;Demais Servidores;2106.64;2106.64;294.9296;0;0;0;0;1;2;2;29000
15;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_16;16;16;2;2;1993-12-08;1;1;2018-12-02;2018-12-02;2018-12-02;Demais Servidores;2018-12-02;Demais Servidores;7558.44;7558.44;992.2108000000002;0;0;0;0;1;2;2;29000
16;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_17;17;17;1;2;1985-12-10;1;1;2010-12-04;2010-12-04;2010-12-04;Demais Servidores;2010-12-04;Demais Servidores;4415.57;4415.57;618.1798;0;0;0;0;1;2;2;29000
17;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;2;3;ativos_18;18;18;2;2;1992-12-08;1;1;2017-12-02;2017-12-02;2017-12-02;Professor;2017-12-02;Professor;7653.47;7653.47;992.2108000000002;0;0;0;0;2;2;2;29000
18;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_19;19;19;1;2;1993-12-08;1;1;2018-12-02;2018-12-02;2018-12-02;Demais Servidores;2018-12-02;Demais Servidores;3544.26;3544.26;496.1964000000001;0;0;0;0;1;2;2;29000
19;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_20;20;20;1;2;1989-12-09;1;1;2014-12-03;2014-12-03;2014-12-03;Demais Servidores;2014-12-03;Demais Servidores;6256.29;6256.29;875.8806000000001;0;0;0;0;1;2;2;29000
20;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_21;21;21;1;2;1992-12-08;1;1;2017-12-02;2017-12-02;2017-12-02;Demais Servidores;2017-12-02;Demais Servidores;1405.44;1405.44;196.76160000000002;0;0;0;0;1;2;2;29000
21;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_22;22;22;1;2;1994-12-08;1;1;2019-12-02;2019-12-02;2019-12-02;Demais Servidores;2019-12-02;Demais Servidores;9454.89;9454.89;992.2108000000002;0;0;0;0;2;2;2;29000
22;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;2;3;ativos_23;23;23;2;2;1987-12-10;1;1;2012-12-03;2012-12-03;2012-12-03;Professor;2012-12-03;Professor;2948.44;2948.44;412.7816;0;0;0;0;1;2;2;29000
23;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_24;24;24;1;2;1993-12-08;1;1;2018-12-02;2018-12-02;2018-12-02;Demais Servidores;2018-12-02;Demais Servidores;9752.13;9752.13;992.2108000000002;0;0;0;0;1;2;2;29000
24;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_25;25;25;2;2;1994-12-08;1;1;2019-12-02;2019-12-02;2019-12-02;Demais Servidores;2019-12-02;Demais Servidores;7787.82;7787.82;992.2108000000002;0;0;0;0;1;2;2;29000
25;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_26;26;26;2;2;1991-12-09;1;1;2016-12-02;2016-12-02;2016-12-02;Demais Servidores;2016-12-02;Demais Servidores;6145.06;6145.06;860.3084000000001;0;0;0;0;1;2;2;29000
26;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_27;27;27;1;2;1987-12-10;1;1;2012-12-03;2012-12-03;2012-12-03;Demais Servidores;2012-12-03;Demais Servidores;1045.0;1045.0;146.3;0;0;0;0;1;2;2;29000
27;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_28;28;28;2;2;1992-12-08;1;1;2017-12-02;2017-12-02;2017-12-02;Demais Servidores;2017-12-02;Demais Servidores;5735.1;5735.1;802.9140000000001;0;0;0;0;1;2;2;29000
28;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;2;3;ativos_29;29;29;2;2;1986-12-10;1;1;2011-12-04;2011-12-04;2011-12-04;Professor;2011-12-04;Professor;1045.0;1045.0;146.3;0;0;0;0;1;2;2;29000
29;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;2;3;ativos_30;30;30;1;2;1988-12-09;1;1;2013-12-03;2013-12-03;2013-12-03;Professor;2013-12-03;Professor;8394.03;8394.03;992.2108000000002;0;0;0;0;1;2;2;29000
30;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_31;31;31;1;2;1979-12-12;1;1;2004-12-05;2004-12-05;2004-12-05;Demais Servidores;2004-12-05;Demais Servidores;1045.0;1045.0;146.3;0;0;0;0;1;2;2;29000
31;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_32;32;32;1;2;1991-12-09;1;1;2016-12-02;2016-12-02;2016-12-02;Demais Servidores;2016-12-02;Demais Servidores;5197.0;5197.0;727.58;0;0;0;0;1;2;2;29000
32;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_33;33;33;1;2;1990-12-09;1;1;2015-12-03;2015-12-03;2015-12-03;Demais Servidores;2015-12-03;Demais Servidores;5185.05;5185.05;725.907;0;0;0;0;1;2;2;29000
33;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;2;3;ativos_34;34;34;1;2;1986-12-10;1;1;2011-12-04;2011-12-04;2011-12-04;Professor;2011-12-04;Professor;8708.27;8708.27;992.2108000000002;0;0;0;0;1;2;2;29000
34;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_35;35;35;1;2;1994-12-08;1;1;2019-12-02;2019-12-02;2019-12-02;Demais Servidores;2019-12-02;Demais Servidores;6074.96;6074.96;850.4944;0;0;0;0;1;2;2;29000
35;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;2;3;ativos_36;36;36;1;2;1982-12-11;1;1;2007-12-05;2007-12-05;2007-12-05;Professor;2007-12-05;Professor;5333.17;5333.17;746.6438;0;0;0;0;2;2;2;29000
36;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_37;37;37;1;2;1993-12-08;1;1;2018-12-02;2018-12-02;2018-12-02;Demais Servidores;2018-12-02;Demais Servidores;11454.01;11454.01;992.2108000000002;0;0;0;0;2;2;2;29000
37;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_38;38;38;2;2;1989-12-09;1;1;2014-12-03;2014-12-03;2014-12-03;Demais Servidores;2014-12-03;Demais Servidores;6151.33;6151.33;861.1862000000001;0;0;0;0;1;2;2;29000
38;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_39;39;39;2;2;1993-12-08;1;1;2018-12-02;2018-12-02;2018-12-02;Demais Servidores;2018-12-02;Demais Servidores;3737.58;3737.58;523.2612;0;0;0;0;1;2;2;29000
39;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_40;40;40;2;2;1982-12-11;1;1;2007-12-05;2007-12-05;2007-12-05;Demais Servidores;2007-12-05;Demais Servidores;6029.2;6029.2;844.0880000000001;0;0;0;0;1;2;2;29000
40;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_41;41;41;1;2;1991-12-09;1;1;2016-12-02;2016-12-02;2016-12-02;Demais Servidores;2016-12-02;Demais Servidores;5641.86;5641.86;789.8604;0;0;0;0;1;2;2;29000
41;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_42;42;42;1;2;1990-12-09;1;1;2015-12-03;2015-12-03;2015-12-03;Demais Servidores;2015-12-03;Demais Servidores;1045.0;1045.0;146.3;0;0;0;0;1;2;2;29000
42;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_43;43;43;1;2;1992-12-08;1;1;2017-12-02;2017-12-02;2017-12-02;Demais Servidores;2017-12-02;Demais Servidores;7599.79;7599.79;992.2108000000002;0;0;0;0;1;2;2;29000
